,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,BLOCK,LOT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALEDATE
42013,1.0,UPPER EAST SIDE (59-79),14 RENTALS - 4-10 UNIT,1404.0,31.0,"163 EAST 69TH STREET, 4",4,10021.0,4,1.0,5,"2,511","8,300",1920.0,2.0,S4,"9,100,000",2020-04-30
42021,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1381.0,1104.0,"45 EAST 66TH STREET, 5W",,10065.0,,,,,,1941.0,2.0,R9,"4,725,000",2020-01-16
42023,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1382.0,1003.0,"20 EAST 68TH STREET, 8C",,10065.0,,,,,,1955.0,2.0,R9,"2,070,000",2020-02-21
42025,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1382.0,1003.0,"20 EAST 68TH STREET, 14F",,10065.0,,,,,,1955.0,2.0,R9,"1,150,000",2020-01-08
42026,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1385.0,1102.0,"30 EAST 71ST STREET, 7A",,10021.0,,,,,,,2.0,R9,"9,700,000",2020-03-03
42027,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1395.0,1002.0,"166 EAST 61ST STREET, 17H",,10065.0,,,,,,1963.0,2.0,R9,"1,350,000",2020-03-11
42028,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1395.0,1002.0,"166 EAST 61ST STREET, 8MN",,10065.0,,,,,,1963.0,2.0,R9,"2,125,000",2020-03-10
42030,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1395.0,1002.0,"166 EAST 61ST STREET, 3A",,10065.0,,,,,,1963.0,2.0,R9,"380,000",2020-02-19
42032,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1395.0,1002.0,"166 EAST 61ST STREET, 14P",,10065.0,,,,,,1963.0,2.0,R9,"450,000",2020-02-13
42035,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1397.0,1402.0,"130 EAST 63RD STREET, PHB",,10065.0,,,,,,1960.0,2.0,R9,"2,262,250",2020-03-12
42037,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1402.0,1002.0,"1156 THIRD AVENUE, 12D",,10065.0,,,,,,1965.0,2.0,R9,"730,000",2020-06-15
42039,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1402.0,1002.0,"1156 THIRD AVENUE, 15F",,10065.0,,,,,,1965.0,2.0,R9,"432,500",2020-03-16
42040,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1402.0,1002.0,"1156 THIRD AVE, 14G",,10065.0,,,,,,1965.0,2.0,R9,"425,000",2020-03-03
42042,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1409.0,1103.0,"1040 LEXINGTON AVENUE, RES",,10021.0,,,,,,1929.0,2.0,R9,"2,998,000",2020-05-08
42046,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1412.0,1002.0,"170 E 78TH STREET, 2F",,10075.0,,,,,,1927.0,2.0,R9,"910,000",2020-05-29
42061,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1425.0,1002.0,"233 EAST 70TH STREET, 3S",,10021.0,,,,,,1957.0,2.0,R9,"825,000",2020-06-16
42064,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1430.0,1004.0,"240 EAST 76TH STREET, 2G",,10021.0,,,,,,1957.0,2.0,R9,"787,890",2020-02-14
42071,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1433.0,1002.0,"205 EAST 78TH STREET, 17E",,10075.0,,,,,,1931.0,2.0,R9,"367,500",2020-01-31
42072,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1433.0,1002.0,"205 EAST 78TH STREET, 9C",,10075.0,,,,,,1931.0,2.0,R9,"655,000",2020-02-05
42074,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1433.0,1002.0,"205 EAST 78TH STREET, 9J",,10075.0,,,,,,1931.0,2.0,R9,"710,000",2020-05-29
42077,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1444.0,1003.0,"301 EAST 69TH STREET, 12L",,10021.0,,,,,,1963.0,2.0,R9,"675,000",2020-01-16
42078,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1444.0,1003.0,"301 EAST 69TH STREET, 4H",,10021.0,,,,,,1963.0,2.0,R9,"520,000",2020-03-02
42081,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1445.0,1002.0,"300 EAST 71 STREET, 12H",,10021.0,,,,,,1960.0,2.0,R9,"1,380,000",2020-03-31
42082,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1445.0,1002.0,"300 EAST 71ST STREET, 10-H",,10021.0,,,,,,1960.0,2.0,R9,"1,125,000",2020-03-24
42083,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1445.0,1002.0,"300 EAST 71ST STREET, 18R",,10021.0,,,,,,1960.0,2.0,R9,"995,000",2020-02-20
42085,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1445.0,1002.0,"300 EAST 71ST STREET, 6K",,10021.0,,,,,,1960.0,2.0,R9,"738,500",2020-02-20
42086,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1445.0,1002.0,"300 EAST 71ST ST, 8H",,10021.0,,,,,,1960.0,2.0,R9,"1,097,500",2020-01-09
42089,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1445.0,1002.0,"300 EAST 71ST STREET, 7N",,10021.0,,,,,,1960.0,2.0,R9,"755,000",2020-03-11
42090,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1445.0,1002.0,"300 EAST 71ST STREET, 11H",,10021.0,,,,,,1960.0,2.0,R9,"1,475,000",2020-02-25
42095,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1447.0,1002.0,"305 EAST 72ND STREET, 15D",,10021.0,,,,,,1961.0,2.0,R9,"1,150,000",2020-01-15
42096,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1447.0,1002.0,"305 EAST 72ND STREET, 4CS",,10021.0,,,,,,1961.0,2.0,R9,"705,000",2020-05-01
42098,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1447.0,1002.0,"305 EAST 72ND STREET, 13H",,10021.0,,,,,,1961.0,2.0,R9,0,2020-06-19
42100,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1447.0,1002.0,"305 EAST 72ND STREET, 10A",,10021.0,,,,,,1961.0,2.0,R9,0,2020-06-01
42103,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1447.0,1002.0,"305 EAST 72ND STREET, 11B",,10021.0,,,,,,1961.0,2.0,R9,"490,000",2020-05-05
42108,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1448.0,1002.0,"340 EAST 74TH STREET, 5G",,10021.0,,,,,,1957.0,2.0,R9,"765,000",2020-01-08
42111,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1449.0,1302.0,"343 EAST 74TH STREET, 8C",,10021.0,,,,,,1986.0,2.0,R9,"728,000",2020-03-03
42116,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1458.0,1103.0,"1175 YORK AVENUE, PHA6",,10065.0,,,,,,1958.0,2.0,R9,"1,999,999",2020-02-13
42117,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1458.0,1103.0,"1175 YORK AVENUE, 11J",,10065.0,,,,,,1958.0,2.0,R9,"1,770,000",2020-06-10
42119,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1458.0,1103.0,"1175 YORK AVENUE, 4F",,10065.0,,,,,,1958.0,2.0,R9,"995,000",2020-02-26
42120,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1458.0,1103.0,"1175 YORK AVENUE, 6M",,10065.0,,,,,,1958.0,2.0,R9,"890,000",2020-06-29
42122,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1458.0,1103.0,"1175 YORK AVENUE, 14A",,10065.0,,,,,,1958.0,2.0,R9,"550,000",2020-02-19
42123,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1458.0,1202.0,"420 EAST 64TH STREET, W6JK",,10065.0,,,,,,,2.0,R9,"1,250,000",2020-02-24
42125,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1458.0,1202.0,"420 EAST 64TH STREET, W7J",,10065.0,,,,,,,2.0,R9,"720,000",2020-04-22
42133,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1469.0,1003.0,"401 EAST 74TH STREET, 18D",,10021.0,,,,,,1962.0,2.0,R9,"699,000",2020-02-28
42134,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1469.0,1003.0,"401 EAST 74TH STREET, 5K",,10021.0,,,,,,1962.0,2.0,R9,"598,000",2020-05-19
42135,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1469.0,1003.0,"401 EAST 74TH STREET, 18S",,10021.0,,,,,,1962.0,2.0,R9,"560,000",2020-05-05
42136,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1469.0,1003.0,"401 EAST 74TH STREET, 16H",,10021.0,,,,,,1962.0,2.0,R9,"1,250,000",2020-01-15
42137,1.0,UPPER EAST SIDE (59-79),17 CONDO COOPS,1469.0,1003.0,"401 EAST 74TH STREET, 11E",,10021.0,,,,,,1962.0,2.0,R9,"950,000",2020-05-12
42141,1.0,UPPER EAST SIDE (59-79),21 OFFICE BUILDINGS,1395.0,10.0,"121 EAST 60TH STREET, 10A",,10022.0,0,60.0,60,"6,025","49,815",1924.0,4.0,O7,"800,000",2020-01-13
42142,1.0,UPPER EAST SIDE (59-79),22 STORE BUILDINGS,1380.0,56.0,762 MADISON AVENUE,,10065.0,0,4.0,4,"1,600","6,070",1910.0,4.0,K4,"4,399,168",2020-01-08
42146,1.0,UPPER EAST SIDE (59-79),22 STORE BUILDINGS,1413.0,51.0,154 EAST 79TH STREET,,10075.0,3,2.0,5,"1,360","4,080",1931.0,4.0,K4,"18,650,000",2020-02-28
42147,1.0,UPPER EAST SIDE (59-79),22 STORE BUILDINGS,1413.0,52.0,152 EAST 79TH STREET,,10075.0,2,2.0,4,"1,088","3,776",1918.0,4.0,K4,"30,515,000",2020-02-28
42148,1.0,UPPER EAST SIDE (59-79),22 STORE BUILDINGS,1413.0,53.0,1135 LEXINGTON AVENUE,,10075.0,0,1.0,1,"1,224","2,448",1920.0,4.0,K7,0,2020-02-28
42149,1.0,UPPER EAST SIDE (59-79),22 STORE BUILDINGS,1413.0,152.0,150 EAST 79TH STREET,,10075.0,2,2.0,4,"1,088","3,541",1910.0,4.0,K4,"30,515,000",2020-02-28
42150,1.0,UPPER EAST SIDE (59-79),22 STORE BUILDINGS,1413.0,154.0,1131 LEXINGTON AVENUE,,10075.0,0,2.0,2,"1,196","2,169",1910.0,4.0,K2,0,2020-02-28
42154,1.0,UPPER EAST SIDE (59-79),25 LUXURY HOTELS,1391.0,21.0,"35 EAST 76TH STREET, 70910",,10075.0,0,259.0,259,"18,803","294,142",1930.0,4.0,H1,"710,000",2020-02-28
42176,1.0,UPPER EAST SIDE (59-79),44 CONDO PARKING,1395.0,1253.0,"525 PARK AVENUE, PARK1",PARK1,10065.0,,1.0,1,,,1915.0,4.0,RG,0,2020-06-20
42178,1.0,UPPER EAST SIDE (59-79),44 CONDO PARKING,1460.0,1162.0,"404 EAST 66TH STREET, ST3",ST3,10065.0,,1.0,1,,,,4.0,RG,"37,500",2020-02-20
42181,1.0,UPPER EAST SIDE (59-79),46 CONDO STORE BUILDINGS,1389.0,1001.0,"23 EAST 74TH STREET, COM",RES,10021.0,,1.0,1,,,1925.0,4.0,RK,0,2020-03-10
42182,1.0,UPPER EAST SIDE (59-79),46 CONDO STORE BUILDINGS,1402.0,1001.0,"1156 3 AVENUE, COMM",COMM,10065.0,,1.0,1,,,1965.0,4.0,RK,"7,500,000",2020-06-03
42188,1.0,UPPER EAST SIDE (59-79),47 CONDO NON-BUSINESS STORAGE,1384.0,1164.0,"15 EAST 69TH STREET, SU17",SU17,10021.0,,1.0,1,,,1926.0,4.0,RS,"3,450,000",2020-03-05
42189,1.0,UPPER EAST SIDE (59-79),47 CONDO NON-BUSINESS STORAGE,1394.0,1016.0,515 PARK AVENUE,STG7,10022.0,,1.0,1,,,,4.0,RS,"6,150,000",2020-04-06
42190,1.0,UPPER EAST SIDE (59-79),47 CONDO NON-BUSINESS STORAGE,1412.0,1188.0,"188 EAST 78TH STREET, CEL14",CEL14,10075.0,,1.0,1,,,,4.0,RS,"32,500",2020-06-09
42192,1.0,UPPER EAST SIDE (59-79),47 CONDO NON-BUSINESS STORAGE,1423.0,1087.0,"200 EAST 69TH STREET, SRU82",SRU82,10021.0,,1.0,1,,,,4.0,RS,"2,783,125",2020-05-01
42196,1.0,UPPER EAST SIDE (59-79),47 CONDO NON-BUSINESS STORAGE,1461.0,1191.0,"400 EAST 67TH STREET, SU62",SU62,10065.0,,1.0,1,,,2006.0,4.0,RS,"44,000",2020-06-16
42198,1.0,UPPER EAST SIDE (79-96),01 ONE FAMILY DWELLINGS,1502.0,11.0,15 EAST 90TH STREET,,10128.0,1,0.0,1,"2,567","8,542",1899.0,1.0,A7,"14,300,000",2020-01-16
42201,1.0,UPPER EAST SIDE (79-96),01 ONE FAMILY DWELLINGS,1509.0,42.0,166 EAST 81ST STREET,,10028.0,1,0.0,1,"2,113","4,416",1899.0,1.0,A9,"8,330,000",2020-04-03
42206,1.0,UPPER EAST SIDE (79-96),01 ONE FAMILY DWELLINGS,1521.0,12.0,125 EAST 92ND STREET,,10128.0,1,0.0,1,"2,517","6,672",2005.0,1.0,A4,"14,240,000",2020-06-01
42208,1.0,UPPER EAST SIDE (79-96),01 ONE FAMILY DWELLINGS,1523.0,41.0,180 EAST 95TH STREET,,10128.0,1,0.0,1,"1,888","3,456",1899.0,1.0,A9,0,2020-04-24
42209,1.0,UPPER EAST SIDE (79-96),01 ONE FAMILY DWELLINGS,1523.0,46.0,166 EAST 95 STREET,,10128.0,1,0.0,1,"1,888","3,456",1899.0,1.0,A9,"5,760,000",2020-06-30
42210,1.0,UPPER EAST SIDE (79-96),01 ONE FAMILY DWELLINGS,1523.0,68.0,116 EAST 95TH STREET,,10128.0,1,0.0,1,"2,013","4,160",1899.0,1.0,A9,"8,000,000",2020-03-20
42211,1.0,UPPER EAST SIDE (79-96),01 ONE FAMILY DWELLINGS,1583.0,128.0,556 EAST 87TH STREET,,10128.0,1,0.0,1,862,"2,700",1899.0,1.0,A4,"3,397,500",2020-06-26
42212,1.0,UPPER EAST SIDE (79-96),02 TWO FAMILY DWELLINGS,1491.0,66.0,6 EAST 80TH STREET,,10075.0,2,0.0,2,"2,554","13,096",1899.0,1.0,B9,0,2020-02-04
42213,1.0,UPPER EAST SIDE (79-96),02 TWO FAMILY DWELLINGS,1509.0,43.0,164 EAST 81ST STREET,,10028.0,2,0.0,2,"2,087","4,160",1899.0,1.0,B3,"8,575,000",2020-06-10
42216,1.0,UPPER EAST SIDE (79-96),07 RENTALS - WALKUP APARTMENTS,1493.0,62.0,16 EAST 82ND STREET,,10028.0,8,1.0,9,"2,554","8,099",1921.0,2.0,C5,"12,250,000",2020-02-11
42218,1.0,UPPER EAST SIDE (79-96),07 RENTALS - WALKUP APARTMENTS,1517.0,40.0,1582 THIRD AVENUE,,10128.0,16,3.0,19,"2,500","11,455",1910.0,2.0,C7,0,2020-06-03
42222,1.0,UPPER EAST SIDE (79-96),07 RENTALS - WALKUP APARTMENTS,1528.0,29.0,242 EAST 83RD STREET,,10028.0,20,0.0,20,"2,656","9,815",1901.0,2.0,C5,"5,000,000",2020-06-25
42224,1.0,UPPER EAST SIDE (79-96),07 RENTALS - WALKUP APARTMENTS,1530.0,46.0,1503 3RD AVENUE,,10028.0,10,1.0,11,"1,956","6,651",1910.0,2.0,C7,0,2020-01-02
42225,1.0,UPPER EAST SIDE (79-96),07 RENTALS - WALKUP APARTMENTS,1530.0,128.0,240 EAST 85TH STREET,,10028.0,7,1.0,8,"1,663","5,052",1910.0,2.0,C7,0,2020-02-13
42226,1.0,UPPER EAST SIDE (79-96),07 RENTALS - WALKUP APARTMENTS,1532.0,44.0,208 EAST 87TH STREET,,10128.0,15,1.0,16,"2,517","9,270",1920.0,2.0,C7,0,2020-03-05
42230,1.0,UPPER EAST SIDE (79-96),07 RENTALS - WALKUP APARTMENTS,1546.0,34.0,342 EAST 84TH STREET,,10028.0,5,0.0,5,"2,043","6,670",1925.0,2.0,C2,0,2020-01-27
42232,1.0,UPPER EAST SIDE (79-96),07 RENTALS - WALKUP APARTMENTS,1553.0,23.0,1741 1 AVENUE,,10128.0,16,2.0,18,"2,550","11,375",1920.0,2.0,C7,0,2020-02-13
42233,1.0,UPPER EAST SIDE (79-96),07 RENTALS - WALKUP APARTMENTS,1553.0,33.0,334 EAST 91ST STREET,,10128.0,15,0.0,15,"2,517","9,225",1910.0,2.0,C1,0,2020-01-10
42234,1.0,UPPER EAST SIDE (79-96),07 RENTALS - WALKUP APARTMENTS,1553.0,34.0,332 EAST 91ST STREET,,10128.0,15,0.0,15,"2,517","9,225",1910.0,2.0,C1,0,2020-01-10
42235,1.0,UPPER EAST SIDE (79-96),07 RENTALS - WALKUP APARTMENTS,1558.0,23.0,1841 1 AVENUE,,10128.0,57,2.0,59,"12,099","45,465",1910.0,2.0,C7,0,2020-02-13
42237,1.0,UPPER EAST SIDE (79-96),07 RENTALS - WALKUP APARTMENTS,1563.0,11.0,427 EAST 83RD STREET,,10028.0,87,0.0,87,"10,217","36,920",1910.0,2.0,C1,0,2020-03-01
42238,1.0,UPPER EAST SIDE (79-96),07 RENTALS - WALKUP APARTMENTS,1571.0,2.0,1758 1 AVENUE,,10128.0,13,2.0,15,"2,350","8,835",1920.0,2.0,C7,"617,310",2020-01-17
42239,1.0,UPPER EAST SIDE (79-96),07 RENTALS - WALKUP APARTMENTS,1578.0,17.0,529 EAST 81ST STREET,,10028.0,100,0.0,100,"12,771","52,000",1900.0,2.0,C4,0,2020-02-13
42240,1.0,UPPER EAST SIDE (79-96),07 RENTALS - WALKUP APARTMENTS,1579.0,137.0,526 EAST 83RD STREET,,10028.0,10,0.0,10,"2,550","8,164",1900.0,2.0,C1,"5,289,000",2020-01-27
42242,1.0,UPPER EAST SIDE (79-96),08 RENTALS - ELEVATOR APARTMENTS,1521.0,64.0,118 EAST 93RD STREET,,10128.0,38,0.0,38,"6,543","42,857",1926.0,2.0,D3,"27,250,000",2020-02-03
42245,1.0,UPPER EAST SIDE (79-96),08 RENTALS - ELEVATOR APARTMENTS,1555.0,1.0,1766 SECOND AVENUE,,10128.0,20,1.0,21,"2,500","27,645",2017.0,2.0,D6,"8,000,000",2020-06-25
42246,1.0,UPPER EAST SIDE (79-96),08 RENTALS - ELEVATOR APARTMENTS,1567.0,35.0,432 EAST 88TH STREET,,10128.0,45,0.0,45,"5,051","24,572",1973.0,2.0,D3,0,2020-02-13
42248,1.0,UPPER EAST SIDE (79-96),08 RENTALS - ELEVATOR APARTMENTS,1577.0,27.0,28-30 EAST END AVENUE,,10028.0,102,1.0,103,"22,783","109,723",1950.0,2.0,D6,"67,000,000",2020-01-29
42252,1.0,UPPER EAST SIDE (79-96),09 COOPS - WALKUP APARTMENTS,1511.0,48.0,"150 EAST 83RD STREET, 4D",,10028.0,,,,,,1920.0,2.0,C6,"319,900",2020-04-22
42253,1.0,UPPER EAST SIDE (79-96),09 COOPS - WALKUP APARTMENTS,1511.0,48.0,"150 EAST 83RD STREET, 3C",,10028.0,,,,,,1920.0,2.0,C6,"355,000",2020-05-29
42257,1.0,UPPER EAST SIDE (79-96),09 COOPS - WALKUP APARTMENTS,1522.0,27.0,"177 EAST 93RD STREET, 3C",,10128.0,,,,,,1920.0,2.0,C6,"485,500",2020-01-16
42259,1.0,UPPER EAST SIDE (79-96),09 COOPS - WALKUP APARTMENTS,1527.0,14.0,"229 EAST 81ST ST, V",,10028.0,,,,,,1900.0,2.0,C6,"379,000",2020-06-22
42260,1.0,UPPER EAST SIDE (79-96),09 COOPS - WALKUP APARTMENTS,1527.0,39.0,"220 EAST 82ND ST, 2RE",,10028.0,,,,,,1910.0,2.0,C6,"432,000",2020-01-07
42264,1.0,UPPER EAST SIDE (79-96),09 COOPS - WALKUP APARTMENTS,1533.0,42.0,"210 EAST 88TH STREET, 1B",,10128.0,,,,,,1900.0,2.0,C6,"355,000",2020-01-23
42269,1.0,UPPER EAST SIDE (79-96),09 COOPS - WALKUP APARTMENTS,1534.0,129.0,"252 EAST 89 ST, 5A",,10128.0,,,,,,1920.0,2.0,C6,"290,000",2020-01-09
42273,1.0,UPPER EAST SIDE (79-96),09 COOPS - WALKUP APARTMENTS,1535.0,29.0,"246 EAST 90TH STREET, 1B",,10128.0,,,,,,1925.0,2.0,C6,0,2020-04-22
42274,1.0,UPPER EAST SIDE (79-96),09 COOPS - WALKUP APARTMENTS,1535.0,30.0,"244 EAST 90TH STREET, 3C",,10128.0,,,,,,1910.0,2.0,C6,"333,765",2020-06-18
42275,1.0,UPPER EAST SIDE (79-96),09 COOPS - WALKUP APARTMENTS,1535.0,30.0,"244 EAST 90TH STREET, 3D",,10128.0,,,,,,1910.0,2.0,C6,"375,000",2020-03-19
42281,1.0,UPPER EAST SIDE (79-96),09 COOPS - WALKUP APARTMENTS,1545.0,130.0,"340 EAST 83RD STREET, 2A",,10028.0,,,,,,1920.0,2.0,C6,"245,000",2020-05-26
42284,1.0,UPPER EAST SIDE (79-96),09 COOPS - WALKUP APARTMENTS,1547.0,42.0,"322 EAST 85 STREET, 3B",,10028.0,,,,,,1905.0,2.0,C6,"490,000",2020-01-31
42285,1.0,UPPER EAST SIDE (79-96),09 COOPS - WALKUP APARTMENTS,1552.0,34.0,"330 EAST 90TH STREET, 5A",,10128.0,,,,,,1930.0,2.0,C6,"405,000",2020-05-22
42304,1.0,UPPER EAST SIDE (79-96),09 COOPS - WALKUP APARTMENTS,1567.0,128.0,"448 EAST 88TH STREET, 5A",,10128.0,,,,,,1920.0,2.0,C6,"415,000",2020-04-29
42308,1.0,UPPER EAST SIDE (79-96),09 COOPS - WALKUP APARTMENTS,1578.0,42.0,"516 EAST 82ND STREET, 4R",,10028.0,,,,,,1920.0,2.0,C6,"499,000",2020-05-08
42309,1.0,UPPER EAST SIDE (79-96),09 COOPS - WALKUP APARTMENTS,1579.0,44.0,"512 EAST 83RD STREET, 4B",,10028.0,,,,,,1910.0,2.0,C6,"351,000",2020-06-15
42310,1.0,UPPER EAST SIDE (79-96),09 COOPS - WALKUP APARTMENTS,1581.0,12.0,"523 EAST 84TH STREET, 4A",,10028.0,,,,,,1910.0,2.0,C6,"50,000",2020-03-02
42312,1.0,UPPER EAST SIDE (79-96),09 COOPS - WALKUP APARTMENTS,1581.0,12.0,"525 EAST 84TH STREET, 2A",,10028.0,,,,,,1910.0,2.0,C6,"585,000",2020-03-16
42315,1.0,UPPER EAST SIDE (79-96),09 COOPS - WALKUP APARTMENTS,1584.0,16.0,"531 EAST 87TH STREET, 14C",,10128.0,,,,,,1910.0,2.0,C6,"350,000",2020-05-28
42318,1.0,UPPER EAST SIDE (79-96),09 COOPS - WALKUP APARTMENTS,1585.0,7.0,"509 EAST 88TH STREET, 2D",,10128.0,,,,,,1910.0,2.0,C6,"360,000",2020-01-08
42322,1.0,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,1491.0,28.0,"63 EAST 79TH STREET, 4S",,10075.0,,,,,,1920.0,2.0,D4,"1,200,000",2020-04-17
42328,1.0,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,1492.0,3.0,"993 5TH AVE, 10 FL",,10028.0,,,,,,1930.0,2.0,D4,"25,285,000",2020-03-16
42331,1.0,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,1492.0,37.0,"930 PARK AVENUE, 12N",,10028.0,,,,,,1916.0,2.0,D4,"8,750,000",2020-02-04
42332,1.0,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,1492.0,69.0,"995 FIFTH AVENUE, 1E",,10028.0,,,,,,1926.0,2.0,D4,"998,000",2020-03-05
42339,1.0,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,1494.0,37.0,"970 PARK AVENUE, GFW",,10028.0,,,,,,1912.0,2.0,D4,"1,614,600",2020-06-18
42340,1.0,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,1494.0,59.0,"8 EAST 83RD STREET, 9/10D",,10028.0,,,,,,1963.0,2.0,D4,"1,340,000",2020-06-19
42350,1.0,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,1495.0,4.0,"1025 FIFTH AVENUE, 9GS",,10028.0,,,,,,1955.0,2.0,D4,"1,295,000",2020-05-05
42355,1.0,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,1496.0,13.0,"17 EAST 84TH ST, 6B",,10028.0,,,,,,1925.0,2.0,D4,"1,225,000",2020-01-28
42357,1.0,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,1496.0,34.0,"1000 PARK AVENUE, 12C",,10028.0,,,,,,1916.0,2.0,D4,"4,400,000",2020-02-13
42360,1.0,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,1497.0,5.0,"3 EAST 85TH STREET, 5A/B",,10028.0,,,,,,1913.0,2.0,D4,"1,750,000",2020-04-13
42363,1.0,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,1497.0,7.0,"7 EAST 85TH STREET, 6A",,10028.0,,,,,,1928.0,2.0,D4,"925,000",2020-05-22
42366,1.0,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,1497.0,21.0,"35 EAST 85TH STREET, 15AN",,10028.0,,,,,,1959.0,2.0,D4,"725,000",2020-02-04
42369,1.0,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,1497.0,34.0,"1020 PARK AVE, 18A",,10028.0,,,,,,1962.0,2.0,D4,"3,000,000",2020-04-21
42376,1.0,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,1497.0,46.0,"64 EAST 86TH STREET, 5C",,10028.0,,,,,,1917.0,2.0,D4,"1,525,000",2020-03-05
42377,1.0,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,1498.0,1.0,"1050 FIFTH AVENUE, 8F",,10028.0,,,,,,1960.0,2.0,D4,"3,450,000",2020-01-15
42378,1.0,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,1498.0,1.0,"1050 5 AVENUE, 12F",,10028.0,,,,,,1960.0,2.0,D4,0,2020-06-22
42379,1.0,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,1498.0,1.0,"1050 FIFTH AVENUE, 3D",,10028.0,,,,,,1960.0,2.0,D4,"2,500,000",2020-02-04
42380,1.0,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,1498.0,1.0,"1050 5 AVENUE, SR01",,10028.0,,,,,,1960.0,2.0,D4,"150,000",2020-01-06
42382,1.0,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,1498.0,14.0,"25 EAST 86TH STREET, 14-F",,10028.0,,,,,,1926.0,2.0,D4,0,2020-06-19
